data,nome_integratore,quantita
2025-05-05,Magnesio Citrate,2
2025-05-05,Black Maca,1
2025-05-05,L-Carnitina,3
2025-05-06,Rhodiola Rosea,1
2025-05-06,CoQ10,1
2025-05-06,Two-Per-Day,2
2025-05-06,Omega-3,1
2025-05-06,Magnesio Citrate,2
2025-05-06,Black Maca,1
2025-05-06,L-Carnitina,3
2025-05-07,Rhodiola Rosea,1
2025-05-07,CoQ10,1
2025-05-07,Two-Per-Day,2
2025-05-07,Omega-3,2
2025-05-07,Magnesio Citrate,2
2025-05-07,Black Maca,1
2025-05-07,L-Carnitina,3
2025-05-08,Two-Per-Day,2
2025-05-08,Omega-3,1
2025-05-08,Magnesio Citrate,2
2025-05-08,Black Maca,1
2025-05-08,L-Carnitina,3
2025-05-09,Rhodiola Rosea,1
